rep_key,month_key,date_key,team_key,tenure_months,is_ramp_month,team_name,country_code,department_code,target,actual,invoiced_revenue,credit_notes,gross_list_value,discount_value,gross_margin,deals,month_end_revenue,strategic_revenue,employee_code,full_name,year,achievement,variance,discount_rate,avg_deal_size,credit_note_rate,month_end_share,strategic_mix,gross_margin_pct,mom_growth,ytd_actual,ytd_target,ytd_achievement,rolling_3m_achievement,performance_band,rank_in_team,rank_in_company,weighted_invoiced,weighted_clawback,credit_notes_outside_window,weighted_base,plan_id,cap_amount,tier_name,commission_rate,commissionable_base,commission,is_capped,effective_commission_rate,achievement_band
9,202401,20240101,1,55,0,Egypt Enterprise,EG,ENT,67724.8,57528.48,57528.48,0.0,63550.0,6021.52,23340.98,4.0,16451.04,18272.52,REP-001,Majid Taha,2024,0.8494448119448119,-10196.32,0.09475247836349332,14382.12,-0.0,0.2859634045606628,0.31762563516366155,0.40572912755560375,,57528.48,67724.8,0.8494448119448119,0.8494448119448119,Near Target (80-99%),4.0,31.0,62096.61,0.0,0.0,62096.61,CP2024,101587.20000000001,T1 Approaching,0.005,62096.61,310.48305,0,0.0053970320439545765,3 80-99%
9,202402,20240201,1,56,0,Egypt Enterprise,EG,ENT,73112.0,101107.4,101107.4,0.0,112100.0,10992.6,53962.4,8.0,0.0,62180.46,REP-001,Majid Taha,2024,1.382911150016413,27995.399999999994,0.0980606601248885,12638.425,-0.0,0.0,0.6149941547305143,0.5337136549846995,0.7575190583863851,158635.88,140836.8,1.1263808890858071,1.1263808890858071,Exceeding (>=120%),1.0,21.0,116652.515,0.0,0.0,116652.515,CP2024,109668.0,T3 Accelerator,0.015,109668.0,1645.02,1,0.016270025735010494,5 120-149%
9,202403,20240301,1,57,0,Egypt Enterprise,EG,ENT,76960.0,99451.92,99451.92,0.0,110400.0,10948.08,54511.92,7.0,12679.2,71105.76000000001,REP-001,Majid Taha,2024,1.2922546777546777,22491.92,0.09916739130434783,14207.417142857143,-0.0,0.12749075130977863,0.7149762417859807,0.5481233544812408,-0.01637348008157658,258087.8,217796.8,1.184993535258553,1.184993535258553,Exceeding (>=120%),3.0,14.0,117228.36,0.0,0.0,117228.36,CP2024,115440.0,T3 Accelerator,0.015,115440.0,1731.6,1,0.017411428557638706,5 120-149%
9,202404,20240401,1,58,0,Egypt Enterprise,EG,ENT,76960.0,71921.58,71921.58,0.0,79800.0,7878.42,39161.58,8.0,18449.579999999998,43919.94,REP-001,Majid Taha,2024,0.9345319646569646,-5038.419999999998,0.09872706766917293,8990.1975,-0.0,0.256523563581334,0.6106642818469783,0.5445038888189053,-0.2768205983353564,330009.38,294756.8,1.1195988693051357,1.2001871982804186,Near Target (80-99%),3.0,31.0,82901.565,0.0,0.0,82901.565,CP2024,115440.0,T1 Approaching,0.005,82901.565,414.507825,0,0.0057633303523087235,3 80-99%
9,202405,20240501,1,59,0,Egypt Enterprise,EG,ENT,76960.0,39161.46,39161.46,0.0,43850.0,4688.54,20503.96,5.0,14096.82,23818.559999999998,REP-001,Majid Taha,2024,0.5088547297297297,-37798.54,0.10692223489167617,7832.2919999999995,-0.0,0.3599666610999692,0.6082143004882862,0.5235749637526282,-0.45549777966501853,369170.84,371716.8,0.9931508072812422,0.9118804573804573,Below Target (<80%),9.0,58.0,45116.1,0.0,0.0,45116.1,CP2024,115440.0,T0 Below Gate,0.0,45116.1,0.0,0,0.0,1 <60%
9,202406,20240601,1,60,0,Egypt Enterprise,EG,ENT,80038.4,47330.64,47330.64,0.0,52700.0,5369.36,18540.64,4.0,0.0,8778.24,REP-001,Majid Taha,2024,0.5913491524068447,-32707.759999999995,0.1018853889943074,11832.66,-0.0,0.0,0.18546632794316747,0.39172595173021113,0.20860253933331394,416501.48,451755.2,0.9219627798418257,0.6771019121348067,Below Target (<80%),8.0,58.0,49525.2,0.0,0.0,49525.2,CP2024,120057.59999999999,T0 Below Gate,0.0,49525.2,0.0,0,0.0,1 <60%
9,202407,20240701,1,61,0,Egypt Enterprise,EG,ENT,73112.0,39600.6,39600.6,0.0,44650.0,5049.4,18134.1,5.0,26930.96,12772.8,REP-001,Majid Taha,2024,0.5416429587482219,-33511.4,0.11308846584546471,7920.12,-0.0,0.6800644434680283,0.32254056756715804,0.4579248799260617,-0.16331999736323027,456102.08,524867.2,0.8689856786630982,0.5479661067035648,Below Target (<80%),7.0,49.0,42793.8,0.0,0.0,42793.8,CP2024,109668.0,T0 Below Gate,0.0,42793.8,0.0,0,0.0,1 <60%
9,202408,20240801,1,62,0,Egypt Enterprise,EG,ENT,70803.2,80721.25,80721.25,0.0,88850.0,8128.75,42743.75,7.0,10285.439999999999,25031.34,REP-001,Majid Taha,2024,1.1400791207177077,9918.050000000003,0.09148846370287,11531.607142857143,-0.0,0.12741923595088034,0.3100960403858959,0.5295228951484274,1.0383845194264734,536823.33,595670.4,0.9012086717755321,0.7486036839773953,On Target (100-119%),1.0,15.0,86979.08499999999,0.0,0.0,86979.08499999999,CP2024,106204.79999999999,T2 On Target,0.01,86979.08499999999,869.79085,0,0.01077524010096474,4 100-119%
9,202409,20240901,1,63,0,Egypt Enterprise,EG,ENT,76960.0,114177.48,114177.48,0.0,126500.0,12322.52,53579.48,9.0,17216.64,67874.58,REP-001,Majid Taha,2024,1.4835951143451143,37217.479999999996,0.0974112252964427,12686.386666666665,-0.0,0.15078840415815797,0.5944655636120187,0.4692648672925695,0.4144662031373399,651000.81,672630.4,0.967843276188528,1.0616824795178454,Exceeding (>=120%),3.0,14.0,131146.125,0.0,0.0,131146.125,CP2024,115440.0,T3 Accelerator,0.015,115440.0,1731.6,1,0.015165862830393523,5 120-149%
9,202410,20241001,1,64,0,Egypt Enterprise,EG,ENT,80038.4,43740.18,43740.18,0.0,48600.0,4859.82,22200.18,4.0,0.0,26659.14,REP-001,Majid Taha,2024,0.546489934831281,-36298.219999999994,0.09999629629629629,10935.045,-0.0,0.0,0.6094885754928306,0.5075466081758236,-0.616910620202863,694740.99,752668.8,0.9230367859010497,1.0475734586587626,Below Target (<80%),8.0,52.0,50404.965,0.0,0.0,50404.965,CP2024,120057.59999999999,T0 Below Gate,0.0,50404.965,0.0,0,0.0,1 <60%
9,202411,20241101,1,65,0,Egypt Enterprise,EG,ENT,83116.8,133300.44,133300.44,0.0,148200.0,14899.56,63860.44,9.0,42451.560000000005,55716.84,REP-001,Majid Taha,2024,1.6037725225225226,50183.64,0.10053684210526316,14811.16,-0.0,0.31846526538096953,0.41797941552180917,0.4790714869358271,2.047551244645084,828041.4299999999,835785.6,0.9907342624711408,1.2128265932352469,Exceeding (>=120%),2.0,12.0,147229.65,0.0,0.0,147229.65,CP2024,124675.20000000001,T3 Accelerator,0.015,124675.20000000001,1870.1280000000002,1,0.014029421058175054,6 150%+
9,202412,20241201,2,66,0,Egypt SME,EG,SME,45554.4,12582.81,12582.81,0.0,13200.0,617.19,6822.81,4.0,2267.04,2864.4,REP-001,Majid Taha,2024,0.27621503082029397,-32971.590000000004,0.046756818181818184,3145.7025,-0.0,0.1801696123520899,0.22764390466040577,0.5422326173565365,-0.9056056379108727,840624.24,881340.0,0.9538024371979031,0.9085515472215941,Below Target (<80%),11.0,68.0,13298.91,0.0,0.0,13298.91,CP2024,68331.6,T0 Below Gate,0.0,13298.91,0.0,0,0.0,1 <60%
9,202501,20250101,2,67,0,Egypt SME,EG,SME,40439.52,87853.97,87853.97,0.0,91900.0,4046.03,37310.97,18.0,17095.0,23924.46,REP-001,Majid Taha,2025,2.172478061065018,47414.450000000004,0.044026441784548426,4880.776111111111,-0.0,0.19458426295362635,0.2723207613725367,0.4246930446057247,5.9820628301627385,87853.97,40439.52,2.172478061065018,1.3821549574148817,Exceeding (>=120%),1.0,2.0,93835.085,0.0,0.0,93835.085,CP2025,60659.28,T3 Accelerator,0.015,60659.28,909.8892,1,0.010356836463964007,6 150%+
9,202502,20250201,2,68,0,Egypt SME,EG,SME,43656.3,62022.22,63417.520000000004,-1395.3,66300.0,2882.48,32676.22,11.0,5972.25,23434.98,REP-001,Majid Taha,2025,1.4206934623410594,18365.92,0.0434763197586727,5765.229090909092,0.022001806440869964,0.09417350284274754,0.3695347910167411,0.526846991287961,-0.29403053726541895,149876.19,84095.82,1.7822073677383725,1.2530561074250395,Exceeding (>=120%),1.0,11.0,69276.265,-1395.3,0.0,67880.965,CP2025,65484.450000000004,T3 Accelerator,0.015,65484.450000000004,982.26675,1,0.015837336199832897,5 120-149%
9,202503,20250301,2,69,0,Egypt SME,EG,SME,45954.0,58478.59,58478.59,0.0,61650.0,3171.41,28942.09,14.0,25126.449999999997,23482.2,REP-001,Majid Taha,2025,1.2725462418940678,12524.589999999997,0.05144217356042173,4177.042142857143,-0.0,0.4296692174007615,0.40155208940571246,0.49491771261926804,-0.05713484618899492,208354.78,130049.82,1.6021150971220106,1.6021150971220106,Exceeding (>=120%),2.0,12.0,64349.14,0.0,0.0,64349.14,CP2025,68931.0,T3 Accelerator,0.015,64349.14,965.2370999999999,0,0.016505820335271423,5 120-149%
9,202504,20250401,2,70,0,Egypt SME,EG,SME,45954.0,36618.83,36618.83,0.0,38000.0,1381.17,19125.83,10.0,10234.56,16972.5,REP-001,Majid Taha,2025,0.7968583801192497,-9335.169999999998,0.036346578947368424,3661.8830000000003,-0.0,0.2794889951426629,0.46349105091560816,0.5222949504394324,-0.3738079184193736,244973.61,176003.82,1.3918653015599318,1.159004546182144,Below Target (<80%),8.0,39.0,40861.955,0.0,0.0,40861.955,CP2025,68931.0,T0 Below Gate,0.0,40861.955,0.0,0,0.0,2 60-79%
9,202505,20250501,2,71,0,Egypt SME,EG,SME,45954.0,55242.41,55242.41,0.0,57800.0,2557.59,26634.41,14.0,17386.96,10191.3,REP-001,Majid Taha,2025,1.2021240806023414,9288.410000000003,0.04424896193771626,3945.886428571429,-0.0,0.31473934609297455,0.18448326204450527,0.48213700307426843,0.5085793292685757,300216.02,221957.82,1.3525814048813418,1.0905095675385532,Exceeding (>=120%),5.0,25.0,57790.235,0.0,0.0,57790.235,CP2025,68931.0,T3 Accelerator,0.015,57790.235,866.853525,0,0.015691812232666892,5 120-149%
9,202506,20250601,2,72,0,Egypt SME,EG,SME,47792.16,42123.82,42123.82,0.0,43650.0,1526.18,16620.32,13.0,6234.299999999999,0.0,REP-001,Majid Taha,2025,0.8813960281351585,-5668.340000000004,0.034964032073310426,3240.293846153846,-0.0,0.1479993979653317,0.0,0.39455870811336674,-0.23747316599692161,342339.84,269749.98,1.2691005204152381,0.9590902401257092,Near Target (80-99%),8.0,43.0,42123.82,0.0,0.0,42123.82,CP2025,71688.24,T1 Approaching,0.005,42123.82,210.6191,0,0.005,3 80-99%
9,202507,20250701,2,73,0,Egypt SME,EG,SME,43656.3,13234.44,13234.44,0.0,13950.0,715.56,7346.9400000000005,3.0,13234.44,0.0,REP-001,Majid Taha,2025,0.3031507480020066,-30421.86,0.05129462365591397,4411.4800000000005,-0.0,1.0,0.0,0.5551379582362382,-0.6858205167527541,355574.28,313406.28,1.1345473996245385,0.8049395185501044,Below Target (<80%),12.0,72.0,13234.44,0.0,0.0,13234.44,CP2025,65484.450000000004,T0 Below Gate,0.0,13234.44,0.0,0,0.0,1 <60%
